article id	author	year	title	journal/conference/collection	abstract	reference IDs	isDHQ
dediu2012	Dediu, H.	2012	Steve Jobs’s ultimate lesson for companies.	Harvard Business Review			0
deegan2009	Deegan, Marilyn | Sutherland, Kathryn	2009	Text Editing, Print and the Digital World				0
deegan2011	Deegan, Marilyn	2011	LLC: The Journal of Digital Scholarship in the Humanities				0
deemter2000	van Deemter, Kees | Kibble, Rodger	2000	On Coreferring: Coreference in MUC and Related Annotation Scheme	Computational Linguistics			0
defanti2009	Defanti, Thomsa	2009	The OptIPortal, a scalable visualization, storage, and computing interface device for the OptiPuter	Future Generation Computer Systems			0
defense2007	Office of the Under Secretary of Defense For Acquisition, Technology, and Logistics	2007	Report of the Defense Science Board Task Force on Defense Biometrics				0
degand2003	Degand, Liesbeth | Bestgen, Yves	2003	Towards automatic retrieval of idioms in French newspaper corpora	Literary and Linguistic Computing			0
dehn1981	Dehn, Natalie	1981	Story Generation after Tale-Spin.	Proceedings of the Seventh International Conference on Artificial Intelligence			0
dehoopetal2009	De Hoop, Raymond | Korpel, Marjo Christina Annette | Porter, Stanley E.	2009	The Impact of Unit Delimitation on Exegesis				0
dejean2005	Déjean, H.	2005	Automatic processing of multilingual medical terminology: Applications to thesaurus enrichment and cross-language information retrieval	Artificial Intelligence in Medicine			0
dejong2006	DeJong, Marc | Shuilenburg, Alex	2006	Mediapolis: Popular Culture and the City.				0
dekeyser2006	Dekeyser, Hannelore	2006	Authenticity in Bits and Bytes.	Sign Here! Handwriting in the Age of New Media			0
dekhytar2006	Dekhytar, Alex | Iacob, Ionut E. | Jaromczyk, Jerzy W. | Kiernan, Kevin | Moore, Neil | Porter, Dorothy Carr	2006	Support for XML Markup of Image-based Electronic Editions	International Journal of Digital Libraries			0
delaney1999	Delaney, Julie	1999	Geographic Information Systems: An Introduction				0
delany1995	Delany, Paul | Landow, George	1995	Hypermedia and Literary Studies				0
deleuze1977	Deleuze, Gilles | Guattari, Feliz	1977	Introducción	Rizoma			0
deleuze1986	Deleuze, Gilles	1986	Cinema 1: The Movement-Image				0
deleuze1987	Deleuze, Gilles | Parnet, Claire	1987	Dialogues II				0
deleuze1987a	Deleuze, Gilles | Guattari, Felix	1987	A Thousand Plateaus: Capitalism and Schizophrenia				0
deleuze1993	Deleuze, Gilles	1993	The Fold: Leibniz and the Baroque				0
delillo1985	DeLillo, D.	1985	White Noise				0
dellaert1996	Dellaert, Frank | Polzin, Thomas | Waibel, Alex	1996	Recognizing Emotion in Speech	Proceedings of ICSLP			0
delucchi1983	Delucchi, Kevin L.	1983	The Use and Misuse of Chi-Square: Lewis and Burke Revisited	Psychological Bulletin			0
demoorandkorpel2007	De Moor, J.C. | Korpel, M.C.A.	2007	Paragraphing in a Tibero-Palestinian Manuscript of the Prophets and Writings	Method in Unit Delimitation			0
dempsteryyy_max	Dempster, Arthur P. | Laird, Nan M. | Rubin, Donald B.	n.d.	Maximum likelihood from incomplete data via the EM algorithm	Journal of the Royal Statistical Society, Series B			0
den1995	den Os, Els | Boogaart, T.I. | Boves, Lou | Klabbers, Esther	1995	The Dutch Polyphone Corpus	Proceedings Eurospeech 1995			0
denbo2012	Denbo, Seth	2012	Query about citation practise.	Humanist Discussion Group			0
